iter	Passed	Remaining
417	2361	3288
418	2366	3281
419	2371	3274
420	2375	3267
421	2380	3260
422	2385	3254
423	2390	3247
424	2395	3240
425	2399	3233
426	2404	3226
427	2409	3219
428	2413	3212
429	2418	3205
430	2422	3198
431	2427	3192
432	2432	3185
433	2436	3178
434	2441	3171
435	2445	3164
436	2450	3157
437	2455	3150
438	2459	3143
439	2464	3136
440	2469	3129
441	2473	3122
442	2478	3116
443	2483	3109
444	2487	3102
445	2494	3098
446	2500	3093
447	2505	3087
448	2512	3083
449	2518	3077
450	2523	3072
451	2528	3065
452	2533	3058
453	2537	3052
454	2542	3045
455	2547	3038
456	2551	3031
457	2556	3025
458	2561	3018
459	2566	3013
460	2571	3006
461	2576	2999
462	2580	2993
463	2585	2986
464	2590	2979
465	2594	2973
466	2599	2966
467	2604	2960
468	2608	2953
469	2613	2947
470	2618	2940
471	2622	2933
472	2627	2927
473	2632	2920
474	2636	2914
475	2641	2907
476	2645	2901
477	2650	2894
478	2655	2888
479	2659	2881
480	2664	2874
481	2670	2870
482	2676	2864
483	2681	2859
484	2687	2853
485	2694	2849
486	2699	2843
487	2705	2838
488	2710	2832
489	2715	2826
490	2720	2819
491	2724	2813
492	2729	2807
493	2734	2800
494	2738	2794
495	2743	2787
496	2748	2781
497	2752	2774
498	2757	2768
499	2762	2762
500	2766	2755
501	2771	2749
502	2776	2743
503	2781	2737
504	2786	2731
505	2791	2724
506	2795	2718
507	2800	2712
508	2804	2705
509	2809	2699
510	2813	2692
511	2818	2686
512	2822	2679
513	2827	2673
514	2831	2667
515	2836	2660
516	2840	2654
517	2847	2649
518	2853	2644
519	2858	2638
520	2864	2633
521	2870	2628
522	2877	2624
523	2882	2618
524	2887	2612
525	2891	2605
526	2896	2599
527	2901	2593
528	2906	2587
529	2911	2581
530	2915	2575
531	2921	2569
532	2925	2563
533	2930	2557
534	2934	2550
535	2939	2544
536	2944	2538
537	2948	2532
538	2953	2526
539	2958	2520
540	2962	2513
541	2967	2507
542	2972	2501
543	2976	2495
544	2981	2488
545	2985	2482
546	2991	2477
547	2997	2472
548	3004	2468
549	3012	2464
550	3020	2461
551	3030	2459
552	3038	2455
553	3048	2453
554	3054	2449
555	3061	2444
556	3067	2439
557	3075	2436
558	3080	2430
559	3087	2425
560	3096	2423
561	3102	2417
562	3108	2412
563	3115	2408
564	3120	2402
565	3126	2397
566	3131	2391
567	3135	2385
568	3140	2378
569	3145	2372
570	3150	2366
571	3154	2360
572	3159	2354
573	3163	2348
574	3168	2341
575	3172	2335
576	3177	2329
577	3182	2323
578	3186	2317
579	3191	2311
580	3196	2305
581	3203	2300
582	3209	2295
