iter	Logloss
0	0.6818536959
1	0.6731820289
2	0.6641198841
3	0.655245516
4	0.6474858113
5	0.638501424
6	0.6288922803
7	0.6200451988
8	0.611490203
9	0.6049000261
10	0.5965258831
11	0.5882676735
12	0.5807586034
13	0.5739114765
14	0.5677459021
15	0.5606097823
16	0.5553395088
17	0.5484892359
18	0.5422040374
19	0.5371457341
20	0.5312215112
21	0.5254597766
22	0.5203137602
23	0.5149251381
24	0.5095826369
25	0.50420633
26	0.4982478675
27	0.4928843106
28	0.4884549244
29	0.4835903094
30	0.4794309398
31	0.4746241554
32	0.4695856577
33	0.4649234184
34	0.4614197556
35	0.4571460462
36	0.4533539916
37	0.4503163051
38	0.4466584575
39	0.4429825263
40	0.4392594561
41	0.4360188525
42	0.4314665878
43	0.4283030904
44	0.4251652879
45	0.4216847862
46	0.4183069423
47	0.4155409688
48	0.4130726528
49	0.409607859
50	0.4069413686
51	0.4040062763
52	0.4021631649
53	0.3993554692
54	0.3964158756
55	0.394121127
56	0.3916325513
57	0.3891244049
58	0.3865404084
59	0.3842286821
60	0.381645038
61	0.3790064778
62	0.3762657533
63	0.3738442146
64	0.372000093
65	0.3700504685
66	0.3676147665
67	0.3656122037
68	0.3634783275
69	0.3613473282
70	0.3596338563
71	0.3580559922
72	0.3561154843
73	0.3538766555
74	0.3519133113
75	0.3502246791
76	0.3483411017
77	0.3469467155
78	0.3453417114
79	0.3435860365
80	0.3426570727
81	0.3415534535
82	0.3398497375
83	0.3384788509
84	0.3374968821
85	0.3361022089
86	0.3347388754
87	0.3336335475
88	0.3323891871
89	0.3311388379
90	0.3300051619
91	0.3287616249
92	0.3272680989
93	0.3261454148
94	0.3250444242
95	0.323977516
96	0.3227767782
97	0.3216003695
98	0.3201719651
99	0.3186117612
100	0.3175445872
101	0.3163070954
102	0.3152866228
103	0.314055961
104	0.3125180838
105	0.3113366967
106	0.3106345863
107	0.309441594
108	0.3084848734
109	0.3078130589
110	0.3067102952
111	0.3055503247
112	0.3052064917
113	0.3040387038
114	0.3033695269
115	0.3025493164
116	0.3016273419
117	0.3011484963
118	0.300280584
119	0.299361863
120	0.2986375699
121	0.2979623403
122	0.2971388322
123	0.2959855671
124	0.2952596838
125	0.2944847987
126	0.29382745
127	0.2930182139
128	0.2922561862
129	0.2915189029
130	0.2909685479
131	0.2901164139
132	0.2890942118
133	0.2885460909
134	0.287829819
135	0.287233751
136	0.2867448604
137	0.2859296224
138	0.2850152942
139	0.2843472527
140	0.2834855271
141	0.2828557946
142	0.2820801444
143	0.2815914219
144	0.2808880853
145	0.280342972
146	0.2798040262
147	0.279226139
148	0.2787005522
149	0.2784467033
150	0.2777884421
151	0.2773076423
152	0.2767392559
153	0.2760853162
154	0.2753294786
155	0.274579937
156	0.2738014088
157	0.2731567923
158	0.272512297
159	0.2720335602
160	0.2715979027
161	0.2710237028
162	0.2704554563
163	0.269840403
164	0.2693187603
165	0.2687067935
166	0.2682333868
167	0.2677619668
168	0.2671295244
169	0.2667861717
170	0.2662085055
171	0.2658673996
172	0.2656176276
173	0.2651358727
174	0.264532347
175	0.2641789772
176	0.2635346919
177	0.2631293466
178	0.2626432408
179	0.2623656013
180	0.2617933041
181	0.2612751917
182	0.2609658796
183	0.2603989047
184	0.2598234053
185	0.2593815585
186	0.2590301777
187	0.2586207582
188	0.2582753066
189	0.2578536898
190	0.2574738444
191	0.2571054675
192	0.2565234943
193	0.2560496623
194	0.2557449612
195	0.2553004282
196	0.2549000373
197	0.2546296933
198	0.2542047604
199	0.253751343
200	0.2534101033
201	0.2529496997
202	0.2526744637
203	0.2523603711
204	0.2519453929
205	0.2515310097
206	0.2509765885
207	0.250494853
208	0.2501375296
209	0.2496658348
210	0.2493557646
211	0.2487480625
212	0.2481760768
213	0.2477597245
214	0.2474417734
215	0.2471479947
216	0.2465862651
217	0.2462239324
218	0.2458292559
219	0.2455189908
220	0.245168931
221	0.2449458512
222	0.2445421465
223	0.244220333
224	0.2437438456
225	0.2433449644
226	0.242993154
227	0.2426318086
228	0.2422291909
229	0.241814206
230	0.2414385596
231	0.2411884902
232	0.2409025964
233	0.2405049183
234	0.2401260167
235	0.2397634226
236	0.2394137564
237	0.2389892691
238	0.2386531989
239	0.2382316382
240	0.2376808958
241	0.2372039943
242	0.2368483496
243	0.2364092866
244	0.2359836487
245	0.2357617675
246	0.2352420342
247	0.2349003133
248	0.2346239376
249	0.2342605756
250	0.2338903124
251	0.2335107066
252	0.2331859567
253	0.2328287918
254	0.2325954983
255	0.2324196049
256	0.2320956026
257	0.2316387611
258	0.2314155256
259	0.2310586761
260	0.2307501073
261	0.2304115691
262	0.2298930943
263	0.2296216135
264	0.2293496075
265	0.2291235214
266	0.2289736312
267	0.228511199
268	0.2282324323
269	0.2280209612
270	0.2277813893
271	0.2274633749
272	0.2273062735
273	0.2270724225
274	0.2268409279
275	0.2265467432
276	0.226258047
277	0.2259516873
278	0.2257044679
279	0.2253162359
280	0.2249541901
281	0.2246312588
282	0.2241948438
283	0.2239702064
284	0.2236305531
285	0.2231898983
286	0.2228766924
287	0.2226336454
288	0.2224557941
289	0.2222624016
290	0.2218547766
291	0.2215550488
292	0.221331823
293	0.2210415731
294	0.2207266522
295	0.2204472208
296	0.2200714925
297	0.2199134536
298	0.219689858
299	0.2194328893
300	0.2191422354
301	0.2187481543
302	0.2185279774
303	0.2183671863
304	0.218163521
305	0.2178464379
306	0.2177164029
307	0.2173795913
308	0.2171268727
309	0.2168466146
310	0.2166552938
311	0.2163680101
312	0.2160844442
313	0.2158730423
314	0.2156808011
315	0.2155164784
316	0.2152252322
317	0.2148586834
318	0.214598865
319	0.2144387298
320	0.2141380466
321	0.2139423209
322	0.2137557711
323	0.2134552689
324	0.2132790837
325	0.2128933606
326	0.2126400441
327	0.2123832037
328	0.2120734529
329	0.211849019
330	0.211537544
331	0.2113000442
332	0.2109622555
333	0.2106133866
334	0.2102303072
335	0.2099138514
336	0.2096974415
337	0.2093910169
338	0.2091027516
339	0.2089531292
340	0.2087599429
341	0.208348446
342	0.2080861193
343	0.2078582916
344	0.2075969697
345	0.2074426794
346	0.2071823287
347	0.2069588715
348	0.2067168443
349	0.2064902068
350	0.2062298088
351	0.205847153
352	0.2056976238
353	0.2054182303
354	0.2051766705
355	0.2049019414
356	0.2046788364
357	0.2044042786
358	0.2042245178
359	0.2038922601
360	0.2036095379
361	0.2034398455
362	0.2032578608
363	0.2030902409
364	0.2028875538
365	0.2026370621
366	0.2024428971
367	0.2022093306
368	0.2018709263
369	0.2016848448
370	0.201394141
371	0.2011658888
372	0.2009936082
373	0.2008143445
374	0.200560581
375	0.200140596
376	0.1999356094
377	0.1996968876
378	0.199565239
379	0.1992603658
380	0.1989825632
381	0.1988305558
382	0.1987464601
383	0.1985223849
384	0.1983268145
385	0.1982184977
386	0.1980402036
387	0.1978166644
388	0.1976481108
389	0.1973773527
390	0.19719441
391	0.196972126
392	0.196799661
393	0.1966050359
394	0.1964737383
395	0.1962603056
396	0.1960690144
397	0.1958784725
398	0.1956176053
399	0.1954757124
400	0.1952446424
401	0.1949859584
402	0.1947168883
403	0.1944586405
404	0.1941817091
405	0.1939911833
406	0.1937969101
407	0.1935597821
408	0.1932965414
409	0.193033137
410	0.1927701845
411	0.1925896511
412	0.1923018897
413	0.1920837294
414	0.191806077
415	0.1915543483
416	0.1913482041
417	0.1911304715
418	0.1909268997
419	0.1907600081
420	0.1904700818
421	0.1903097583
422	0.1901407736
423	0.1898799575
424	0.189779451
425	0.1894961112
426	0.1892008473
427	0.1889933271
428	0.1887822123
429	0.1885417098
430	0.1883937273
431	0.1882060168
432	0.1880083532
433	0.187798248
434	0.1876864292
435	0.1875755227
436	0.1874785989
437	0.1871670557
438	0.1869627001
439	0.1866973888
440	0.1864418338
441	0.1862131803
442	0.1860695906
443	0.1858573575
444	0.185651006
445	0.1854805596
446	0.1851994981
447	0.1849083261
448	0.1846911299
449	0.1843811739
450	0.184147458
451	0.1839367762
452	0.1837601693
453	0.1835774954
454	0.1834663207
455	0.1833189534
456	0.1831290371
457	0.1829375785
458	0.1828121226
459	0.1825240834
460	0.182330383
461	0.1820959632
462	0.1819531451
463	0.181753165
464	0.1816041175
465	0.1814145263
466	0.181235558
467	0.1810387121
468	0.1808057046
469	0.1805435425
470	0.1804120008
471	0.1802779784
472	0.1800940394
473	0.1798678023
474	0.1797081571
475	0.1794749602
476	0.1792230866
477	0.179010906
478	0.1789087655
479	0.1787960871
480	0.1785766662
481	0.1783833323
482	0.1782273518
483	0.1780159498
484	0.1778609792
485	0.1777538378
486	0.1775529895
487	0.1772608865
488	0.1769612839
489	0.1767670716
490	0.1765115808
491	0.1763561352
492	0.176173335
493	0.175973194
494	0.1757550255
495	0.1756015248
496	0.1754310692
497	0.1752873714
498	0.1751181884
499	0.1749458576
500	0.1747397178
501	0.1744891568
